roc_auc,pr_auc,balanced_accuracy,f1,brier,n_test,prevalence,model_block,learner,cv_scheme,fold,n_predictors,cal_intercept,cal_slope
0.7101541072009669,0.7465505485648083,0.6716302124494444,0.7183638687686408,0.21426564300164108,2054,0.572541382667965,M1,logit,random,2,22,,
0.7177560041730752,0.7461609116440633,0.6716263161857234,0.7170665459483929,0.21267594316711563,1943,0.5609881626351003,M1,logit,random,3,22,,
0.7048877635615151,0.7235869631011627,0.6590157668732484,0.704095720202485,0.21570196511312525,1922,0.5530697190426639,M1,logit,random,4,22,,
0.8968554601747134,0.9163091903807289,0.807704652465519,0.8228255867464335,0.1345092975869909,2002,0.5529470529470529,M1,xgb,random,0,27,,
0.8980439499659633,0.920766654364522,0.8090569690265487,0.833408172429277,0.12862145161109778,1962,0.5759429153924567,M1,xgb,random,1,27,,
0.8986807137433562,0.9231592762398968,0.8160214541397425,0.8390705679862306,0.12887520878073278,2054,0.572541382667965,M1,xgb,random,2,27,,
0.9027953149703689,0.9214999603129443,0.820000107553481,0.8404059040590406,0.12646176135774026,1943,0.5609881626351003,M1,xgb,random,3,27,,
0.8564324177515038,0.8808930083862141,0.7657824791346564,0.797608095676173,0.1565132185204835,1922,0.5530697190426639,M1,xgb,random,4,27,,
0.7927409627913784,0.8316032491414429,0.7286021407700111,0.738944365192582,0.18721949974892818,2002,0.5529470529470529,M2,logit,random,0,15,,
0.7844920013614705,0.8351113978625138,0.7152261317222601,0.7377736376339078,0.1901288406004713,1962,0.5759429153924567,M2,logit,random,1,15,,
0.780310073915671,0.8391332530005824,0.7212366153750793,0.735934664246824,0.19159603420336127,2054,0.572541382667965,M2,logit,random,2,15,,
0.7768932101487465,0.8241105743756032,0.7242032975897265,0.7419818094782192,0.19286433438845457,1943,0.5609881626351003,M2,logit,random,3,15,,
0.7620020216467331,0.8170939864716651,0.7036705044369999,0.7181505164781111,0.1983455695828219,1922,0.5530697190426639,M2,logit,random,4,15,,
0.8956684985844272,0.9166900306200929,0.8021301721397103,0.813986013986014,0.131660837031182,2002,0.5529470529470529,M2,xgb,random,0,17,,
0.8970217835262084,0.9243395043030389,0.8076433798502383,0.8251491509866912,0.13011800573728408,1962,0.5759429153924567,M2,xgb,random,1,17,,
0.8890422342057551,0.9160683723642353,0.7930622704662731,0.811453744493392,0.13567694371986275,2054,0.572541382667965,M2,xgb,random,2,17,,
0.876969573120234,0.9051970196362098,0.8016520214676748,0.8126497364638237,0.143046914211933,1943,0.5609881626351003,M2,xgb,random,3,17,,
0.8989089021450701,0.9212631846346074,0.8114310652413655,0.8281770585435507,0.12877588128598402,1922,0.5530697190426639,M2,xgb,random,4,17,,
0.8053574762935711,0.8384174194929558,0.7292319571240405,0.7440112728980742,0.1810883624388766,2002,0.5529470529470529,M3,logit,random,0,31,0.23459468054859312,1.1443781497688115
0.8070753914227365,0.8554394165964752,0.7329911929884275,0.7583985273815003,0.18046031178116514,1962,0.5759429153924567,M3,logit,random,1,31,0.3274705651206686,1.147796170765818
0.7995763795267539,0.8524702053854191,0.7250321540917051,0.7460954930834449,0.18321091597080486,2054,0.572541382667965,M3,logit,random,2,31,0.2975920904721045,1.0806236406170189
0.7971014336879013,0.8376207249612841,0.7316191101024985,0.7528409090909091,0.18381512996663224,1943,0.5609881626351003,M3,logit,random,3,31,0.2241958773194338,1.0752456406773458
0.7818691361567028,0.8308567147960347,0.7138187110742654,0.7340425531914894,0.1903093727670812,1922,0.5530697190426639,M3,logit,random,4,31,0.19439250137250166,1.0155529667172174
0.9313883716118354,0.9441571129377067,0.8570205851034302,0.869167429094236,0.10388427329979749,2002,0.5529470529470529,M3,xgb,random,0,37,0.12057108421403416,1.0480267281080105
0.9225355258679373,0.9409035288279259,0.8490246341048333,0.8672964462438146,0.11038963411708042,1962,0.5759429153924567,M3,xgb,random,1,37,0.19219303392593165,0.751675461321682
0.9194898346582369,0.9385316228306381,0.8356412610602327,0.8547968885047537,0.11391477265121998,2054,0.572541382667965,M3,xgb,random,2,37,0.18290776819594606,0.9454581774697687
0.9189939447390215,0.935316653418172,0.834603181431967,0.8513011152416357,0.11356082157400703,1943,0.5609881626351003,M3,xgb,random,3,37,0.16969074220526342,0.9246069098280598
0.9131907521161035,0.9308577431181138,0.8331796472960201,0.8531468531468531,0.11877268395282391,1922,0.5530697190426639,M3,xgb,random,4,37,-0.0015293271620009676,0.8744215052401044
